Time,Ax,Ay,Beta,Pitch,Roll,Vx,Zcg_SM,,,,,
0.183,-0.003484379,-0.008687828,1.080587444,-0.004963884,0.009149455,0.976840465,0.250907483,,,,,
0.184,-0.003490162,-0.008642225,1.062601662,-0.004906173,0.009067776,0.976717521,0.250914303,,,,,
0.185,-0.00349559,-0.008585876,1.044705713,-0.004846936,0.00897051,0.976594372,0.250921082,,,,,
0.186,-0.003500636,-0.008519333,1.026921637,-0.004786268,0.008858286,0.976471031,0.250927814,,,,,
0.187,-0.003505292,-0.008443184,1.009270346,-0.004724265,0.008731858,0.976347512,0.250934495,,,,,
0.188,-0.003509571,-0.008358047,0.991771546,-0.00466102,0.008592097,0.976223829,0.25094112,,,,,
0.189,-0.003513503,-0.008264568,0.974443675,-0.00459663,0.008439984,0.976099994,0.250947686,,,,,
0.19,-0.003517138,-0.008163412,0.957303849,-0.004531191,0.0082766,0.975976021,0.250954186,,,,,
0.191,-0.003520538,-0.008055263,0.940367817,-0.004464801,0.00810312,0.975851919,0.250960618,,,,,
0.192,-0.003523779,-0.007940813,0.923649927,-0.004397556,0.0079208,0.975727698,0.250966976,,,,,
0.193,-0.00352694,-0.007820761,0.907163104,-0.004329556,0.00773097,0.975603362,0.250973256,,,,,
0.194,-0.003530106,-0.007695805,0.89091884,-0.004260899,0.00753502,0.975478914,0.250979455,,,,,
0.195,-0.003533361,-0.00756664,0.874927187,-0.004191686,0.007334393,0.975354355,0.250985568,,,,,
0.196,-0.003536781,-0.00743395,0.85919677,-0.004122017,0.007130567,0.97522968,0.250991591,,,,,
0.197,-0.003540435,-0.007298405,0.843734809,-0.004051993,0.006925052,0.975104885,0.25099752,,,,,
0.198,-0.003544381,-0.007160655,0.828547139,-0.003981715,0.006719371,0.974979961,0.251003351,,,,,
0.199,-0.00354866,-0.007021326,0.813638258,-0.003911285,0.006515053,0.974854898,0.251009082,,,,,
